Grant Name,Deadline,Days Left,Min Amount,Max Amount,Match Required,Match %,Category,Application URL,Fit Score
Tennessee 250 Project Support Grant,2026-01-20,8 DAYS,1000,20000,Unknown,,state,https://stateoftennessee.formstack.com/forms/america_250_project_and_community_support_grant,
Tennessee 250 Community Support Grant,2026-01-20,8 DAYS,1000,25000,Unknown,,state,https://stateoftennessee.formstack.com/forms/america_250_project_and_community_support_grant,
Tennessee 250 Grants (Project + Community),2026-01-20,8 DAYS,20000,25000,False,,state,https://stateoftennessee.formstack.com/forms/america_250_project_and_community_support_grant,HIGH
Tennessee Historic Preservation Fund Grant,2026-02-01,20 DAYS,15000,65000,True,40,state,https://www.tn.gov/environment/about-tdec/grants.html,HIGH
Tennessee Historical Commission HPF,2026-02-01,20 DAYS,15000,65000,True,,state,https://www.tn.gov/historicalcommission/federal-programs/preservation-grants.html,HIGH
National Fund for Sacred Places,2026-03-03,,50000,500000,True,,state,,HIGH
Tennessee Arts Forward Grant - America 250,2026-06-01,,500,5000,False,0,state,https://tnartscommission.org/grants/special-opportunities/,HIGH
Tennessee State Museum Capital Maintenance Grants,2026-08-25,,5000,100000,Unknown,,state,https://tnmuseum.org/grants,HIGH
Tennessee Wars Commission Grant Fund,2026-11-21,,1000,25000,False,,state,https://www.tn.gov/historicalcommission/state-programs/twc.html,HIGH
East Tennessee Foundation,Rolling,Rolling,,,False,,foundation,,HIGH
Tennessee Tourism Enhancement Grant,Rolling,Rolling,,100000,False,,state,,HIGH
Tennessee State Museum Capital Grants,Rolling,Rolling,5000,100000,False,,state,,HIGH
Tennessee Civil War National Heritage Area,Rolling,Rolling,,,False,,state,,HIGH
Appalachian Regional Commission,Rolling,Rolling,,100000,False,,state,,HIGH
Overmountain Victory Trail Partnership,Rolling,Rolling,,,False,,state,,HIGH
NETTA (Northeast TN Tourism),Rolling,Rolling,,,False,,local,,HIGH
First Tennessee Development District,Rolling,Rolling,,,False,,local,,HIGH
Kiwanis Club of Kingsport Foundation,Rolling,Rolling,,16000,False,,service_club,,HIGH
Junior League of Kingsport,Rolling,Rolling,,1500,False,,service_club,,HIGH
Tennessee Disability Coalition,Rolling,Rolling,,15000,False,,accessibility,,HIGH
ARC Heritage Tourism Grant,Rolling,Rolling,50000,500000,50% (Sullivan County is 'Transitional'),,state,https://www.arc.gov/grants-and-opportunities/,MEDIUM
Kingsport Community Foundation,Rolling,Rolling,5000,100000,False,,state,https://www.grantinterface.com/Home/Logon?urlkey=easttennesseefoundation,PERFECT - Local
Sullivan County Hotel/Motel Tax,Rolling,Rolling,,962000,False,,local,,HIGH
